stfips,areatype,area,periodyear,periodtype,period,airportname,enplaned,deplaned,passengers
35,20,002000,2018,03,01,Albuquerque International Sunport,175961,173141,349102
35,20,002000,2018,03,02,Albuquerque International Sunport,168268,170588,338826
35,20,002000,2018,03,03,Albuquerque International Sunport,220816,220622,441438
35,20,002000,2018,03,04,Albuquerque International Sunport,218977,217114,436091
35,20,002000,2018,03,05,Albuquerque International Sunport,250725,240686,491411
35,20,002000,2018,03,06,Albuquerque International Sunport,255465,257498,512963
35,20,002000,2018,03,07,Albuquerque International Sunport,265106,264692,529798
35,20,002000,2018,03,08,Albuquerque International Sunport,246780,251309,498089
35,20,002000,2018,03,09,Albuquerque International Sunport,230254,238568,468822
35,20,002000,2018,03,10,Albuquerque International Sunport,264539,254803,519342
35,20,002000,2018,03,11,Albuquerque International Sunport,226804,223982,450786
35,20,002000,2018,03,12,Albuquerque International Sunport,213614,217411,431025
35,20,002000,2019,03,01,Albuquerque International Sunport,176633,171403,348036
35,20,002000,2019,03,02,Albuquerque International Sunport,167920,168937,336857
35,20,002000,2019,03,03,Albuquerque International Sunport,216451,212295,428746
35,20,002000,2019,03,04,Albuquerque International Sunport,210095,206860,416955
35,20,002000,2019,03,05,Albuquerque International Sunport,242829,231893,474722
35,20,002000,2019,03,06,Albuquerque International Sunport,251191,256212,507403
35,20,002000,2019,03,07,Albuquerque International Sunport,257170,258583,515753
35,20,002000,2019,03,08,Albuquerque International Sunport,244721,246889,491610
35,20,002000,2019,03,09,Albuquerque International Sunport,233054,232159,465213
35,20,002000,2019,03,10,Albuquerque International Sunport,267094,260893,527180
35,20,002000,2019,03,11,Albuquerque International Sunport,217074,215959,433033
35,20,002000,2019,03,12,Albuquerque International Sunport,229139,231447,460586
35,20,002000,2020,03,01,Albuquerque International Sunport,181875,175770,357645
35,20,002000,2020,03,02,Albuquerque International Sunport,175434,174936,350370
