stfips,areatype,area,periodyear,periodtype,period,allrooms,occupied,occrate,arr
35,20,002000,2018,03,01,241068,120402,49.9,87.75
35,20,002000,2018,03,02,212322,133070,62.7,92.32
35,20,002000,2018,03,03,243124,181433,74.6,95.48
35,20,002000,2018,03,04,234314,169718,72.4,98.14
35,20,002000,2018,03,05,244721,183252,74.9,99.09
35,20,002000,2018,03,06,234847,183168,78,95.48
35,20,002000,2018,03,07,242492,182154,75.1,96.7
35,20,002000,2018,03,08,241988,177215,73.2,95.26
35,20,002000,2018,03,09,230217,170341,74,98.92
35,20,002000,2018,03,10,245373,192506,78.5,123.61
35,20,002000,2018,03,11,233305,140887,60.4,98.03
35,20,002000,2018,03,12,237156,126045,53.1,93.19
35,20,002000,2019,03,01,233554,124698,53.4,96.65
35,20,002000,2019,03,02,211128,138537,65.6,98.96
35,20,002000,2019,03,03,237274,180489,76.1,105.56
35,20,002000,2019,03,04,229620,170644,74.3,107.88
35,20,002000,2019,03,05,233619,175264,75,103.57
35,20,002000,2019,03,06,229830,192099,83.6,108.05
35,20,002000,2019,03,07,230006,175505,76.3,103.7
35,20,002000,2019,03,08,230113,170235,74,103.18
35,20,002000,2019,03,09,218850,163269,74.6,104.58
35,20,002000,2019,03,10,226176,185996,82.2,134.09
35,20,002000,2019,03,11,218880,140936,64.4,102.53
35,20,002000,2019,03,12,230547,129303,56.1,91.61
35,20,002000,2020,03,01,236809,129214,54.6,95.88
35,20,002000,2020,03,02,221214,145568,65.8,101.58
35,20,002000,2020,03,03,222984,105174,47.2,97.39
