stfips,area,areatype,periodtype,periodyear,period,labforce,emplab,unemp,unemprate
35,000000,01,03,2019,01,947008,899963,47045,5
35,000000,01,03,2019,01,948738,900609,48129,5.1
35,000000,01,03,2019,02,948193,900972,47221,5
35,000000,01,03,2019,02,952002,903255,48747,5.1
35,000000,01,03,2019,03,949247,901992,47255,5
35,000000,01,03,2019,03,953796,905415,48381,5.1
35,000000,01,03,2019,04,950371,903253,47118,5
35,000000,01,03,2019,04,955271,907340,47931,5
35,000000,01,03,2019,05,951670,904857,46813,4.9
35,000000,01,03,2019,05,956866,909239,47627,5
35,000000,01,03,2019,06,953233,906791,46442,4.9
35,000000,01,03,2019,06,959010,911680,47330,4.9
35,000000,01,03,2019,07,955251,909143,46108,4.8
35,000000,01,03,2019,07,961698,914127,47571,4.9
35,000000,01,03,2019,08,957248,911407,45841,4.8
35,000000,01,03,2019,09,959014,913337,45677,4.8
35,000000,01,03,2019,09,965447,918522,46925,4.9
35,000000,01,03,2019,10,960159,914532,45627,4.8
35,000000,01,03,2019,10,966460,919972,46488,4.8
35,000000,01,03,2019,11,960148,914468,45680,4.8
35,000000,01,03,2019,12,959922,914194,45728,4.8
35,000000,01,03,2019,12,966624,920787,45837,4.7
35,000000,01,03,2020,01,961059,915402,45657,4.8
