stfips,areatype,area,periodyear,periodtype,period,rate
00,00,000000,2019,03,01,4.46
00,00,000000,2019,03,02,4.37
00,00,000000,2019,03,03,4.27
00,00,000000,2019,03,04,4.14
00,00,000000,2019,03,05,4.07
00,00,000000,2019,03,06,3.8
00,00,000000,2019,03,07,3.77
00,00,000000,2019,03,08,3.62
00,00,000000,2019,03,09,3.61
00,00,000000,2019,03,10,3.69
00,00,000000,2019,03,11,3.7
00,00,000000,2019,03,12,3.72
00,00,000000,2020,03,01,3.62
00,00,000000,2020,03,02,3.47
00,00,000000,2020,03,03,3.45
