Date,Confirmed (COVID-19),Recovered (COVID-19),Deaths (COVID-19)
1/22/2020,1,0,0
1/23/2020,1,0,0
1/24/2020,2,0,0
1/25/2020,2,0,0
1/26/2020,5,0,0
1/27/2020,5,0,0
1/28/2020,5,0,0
1/29/2020,5,0,0
1/30/2020,5,0,0
1/31/2020,7,0,0
2/1/2020,8,0,0
2/2/2020,8,0,0
2/3/2020,11,0,0
2/4/2020,11,0,0
2/5/2020,11,0,0
2/6/2020,11,0,0
2/7/2020,11,0,0
2/8/2020,11,0,0
2/9/2020,11,3,0
2/10/2020,11,3,0
2/11/2020,12,3,0
2/12/2020,12,3,0
2/13/2020,13,3,0
2/14/2020,13,3,0
2/15/2020,13,3,0
2/16/2020,13,3,0
2/17/2020,13,3,0
2/18/2020,13,3,0
2/19/2020,13,3,0
2/20/2020,13,3,0
2/21/2020,15,5,0
2/22/2020,15,5,0
2/23/2020,15,5,0
2/24/2020,51,5,0
2/25/2020,51,6,0
2/26/2020,57,6,0
2/27/2020,58,6,0
2/28/2020,60,7,0
2/29/2020,68,7,1
3/1/2020,74,7,1
3/2/2020,98,7,6
3/3/2020,118,7,7
3/4/2020,149,7,11
3/5/2020,217,7,12
3/6/2020,262,7,14
3/7/2020,402,7,17
3/8/2020,518,7,21
3/9/2020,583,7,22
3/10/2020,959,8,28
3/11/2020,1281,8,36
3/12/2020,1663,12,40
3/13/2020,2179,12,47
3/14/2020,2727,12,54
3/15/2020,3499,12,63
3/16/2020,4632,17,85
3/17/2020,6421,17,108
3/18/2020,7783,105,118
3/19/2020,13677,121,200
3/20/2020,19100,147,244
3/21/2020,25489,176,307
3/22/2020,33276,178,417
3/23/2020,43847,178,557
3/24/2020,53740,348,706
3/25/2020,65778,361,942
3/26/2020,83836,681,1209
3/27/2020,101657,869,1581
3/28/2020,121478,1072,2026
